Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.7400      -219590.282  -219598.693        8.411   189.7
2.7500      -219590.283  -219598.923        8.640   194.9
2.7600      -219590.285  -219598.847        8.562   193.1
2.7700      -219590.290  -219598.903        8.613   194.3
2.7800      -219590.293  -219599.417        9.124   205.8
2.7900      -219590.286  -219599.247        8.960   202.1
2.8000      -219590.290  -219599.388        9.098   205.2
2.8100      -219590.291  -219599.242        8.951   201.9
2.8200      -219590.284  -219599.348        9.064   204.4
2.8300      -219590.282  -219599.378        9.096   205.2
2.8400      -219590.288  -219599.412        9.124   205.8
2.8500      -219590.290  -219599.361        9.071   204.6
2.8600      -219590.283  -219599.304        9.020   203.5
2.8700      -219590.286  -219599.488        9.202   207.5
2.8800      -219590.287  -219599.042        8.755   197.5
2.8900      -219590.286  -219599.358        9.072   204.6
2.9000      -219590.286  -219599.582        9.296   209.7
2.9100      -219590.292  -219599.830        9.538   215.1
2.9200      -219590.295  -219600.087        9.792   220.9
2.9300      -219590.283  -219599.336        9.053   204.2
2.9400      -219590.278  -219599.904        9.626   217.1
2.9500      -219590.287  -219600.213        9.926   223.9
2.9600      -219590.290  -219599.689        9.400   212.0
2.9700      -219590.291  -219599.833        9.542   215.2
2.9800      -219590.285  -219599.608        9.322   210.3
2.9900      -219590.282  -219599.135        8.853   199.7
3.0000      -219590.290  -219599.372        9.082   204.8
3.0100      -219590.289  -219599.184        8.895   200.6
3.0200      -219590.286  -219599.700        9.414   212.3
3.0300      -219590.283  -219599.358        9.075   204.7
3.0400      -219590.290  -219598.912        8.621   194.5
3.0500      -219590.293  -219599.227        8.934   201.5
3.0600      -219590.285  -219598.937        8.652   195.1
3.0700      -219590.286  -219599.461        9.174   206.9
3.0800      -219590.293  -219599.361        9.069   204.5
3.0900      -219590.292  -219599.164        8.872   200.1
3.1000      -219590.284  -219599.090        8.806   198.6
3.1100      -219590.292  -219599.319        9.027   203.6
3.1200      -219590.293  -219599.253        8.960   202.1
3.1300      -219590.287  -219598.866        8.578   193.5
3.1400      -219590.286  -219599.142        8.856   199.7
3.1500      -219590.290  -219599.448        9.159   206.6
3.1600      -219590.289  -219599.590        9.302   209.8
3.1700      -219590.287  -219599.723        9.436   212.8
3.1800      -219590.288  -219599.655        9.367   211.3
3.1900      -219590.288  -219599.426        9.138   206.1
3.2000      -219590.287  -219599.381        9.094   205.1
3.2100      -219590.285  -219599.152        8.867   200.0
3.2200      -219590.289  -219599.534        9.246   208.5
3.2300      -219590.292  -219599.357        9.065   204.5
