Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
5.3800      -201778.657  -201788.255        9.597   242.6
5.3900      -201778.665  -201789.149       10.483   265.0
5.4000      -201778.665  -201788.980       10.315   260.8
5.4100      -201778.668  -201788.839       10.171   257.1
5.4200      -201778.673  -201789.038       10.365   262.0
5.4300      -201778.667  -201788.715       10.048   254.0
5.4400      -201778.661  -201788.662       10.001   252.8
5.4500      -201778.665  -201788.334        9.669   244.4
5.4600      -201778.668  -201788.529        9.861   249.3
5.4700      -201778.662  -201788.338        9.676   244.6
5.4800      -201778.665  -201788.486        9.821   248.3
5.4900      -201778.666  -201788.489        9.824   248.4
5.5000      -201778.666  -201788.641        9.975   252.2
5.5100      -201778.669  -201789.101       10.432   263.8
5.5200      -201778.665  -201789.196       10.531   266.3
5.5300      -201778.656  -201788.445        9.789   247.5
