Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
4.4800      -270209.351  -270220.885       11.534   220.3
4.4900      -270209.353  -270221.062       11.709   223.7
4.5000      -270209.348  -270220.260       10.911   208.4
4.5100      -270209.345  -270220.444       11.099   212.0
4.5200      -270209.348  -270220.429       11.081   211.7
4.5300      -270209.353  -270220.572       11.219   214.3
4.5400      -270209.352  -270221.083       11.731   224.1
4.5500      -270209.346  -270220.899       11.554   220.7
4.5600      -270209.351  -270220.909       11.558   220.8
4.5700      -270209.355  -270220.103       10.748   205.3
4.5800      -270209.360  -270220.808       11.448   218.7
4.5900      -270209.359  -270221.000       11.641   222.4
4.6000      -270209.358  -270220.810       11.452   218.8
4.6100      -270209.356  -270221.382       12.026   229.7
4.6200      -270209.353  -270220.912       11.559   220.8
4.6300      -270209.355  -270220.769       11.414   218.0
4.6400      -270209.359  -270221.171       11.812   225.6
4.6500      -270209.357  -270220.783       11.426   218.3
4.6600      -270209.356  -270220.872       11.516   220.0
4.6700      -270209.352  -270220.783       11.430   218.3
4.6800      -270209.352  -270221.028       11.675   223.0
4.6900      -270209.356  -270221.320       11.964   228.5
4.7000      -270209.352  -270220.903       11.551   220.6
4.7100      -270209.355  -270220.615       11.260   215.1
4.7200      -270209.362  -270221.540       12.178   232.6
4.7300      -270209.356  -270220.689       11.334   216.5
4.7400      -270209.354  -270220.365       11.011   210.3
4.7500      -270209.350  -270221.188       11.838   226.1
4.7600      -270209.339  -270220.352       11.013   210.4
4.7700      -270209.339  -270220.447       11.108   212.2
4.7800      -270209.343  -270220.778       11.435   218.4
4.7900      -270209.351  -270221.385       12.033   229.9
4.8000      -270209.355  -270221.016       11.661   222.8
4.8100      -270209.364  -270221.278       11.914   227.6
4.8200      -270209.361  -270221.285       11.924   227.8
4.8300      -270209.350  -270220.827       11.477   219.2
4.8400      -270209.348  -270220.554       11.206   214.0
4.8500      -270209.358  -270221.005       11.647   222.5
4.8600      -270209.353  -270221.048       11.695   223.4
4.8700      -270209.346  -270221.262       11.916   227.6
4.8800      -270209.346  -270221.095       11.749   224.4
4.8900      -270209.343  -270220.692       11.349   216.8
4.9000      -270209.338  -270219.912       10.573   202.0
4.9100      -270209.351  -270220.797       11.446   218.6
4.9200      -270209.351  -270220.170       10.819   206.7
4.9300      -270209.355  -270221.022       11.666   222.8
4.9400      -270209.351  -270220.997       11.646   222.5
4.9500      -270209.344  -270221.461       12.117   231.5
4.9600      -270209.343  -270220.862       11.519   220.0
4.9700      -270209.352  -270220.799       11.447   218.7
4.9800      -270209.347  -270220.574       11.227   214.5
4.9900      -270209.342  -270220.370       11.028   210.7
5.0000      -270209.347  -270220.783       11.436   218.4
5.0100      -270209.352  -270220.894       11.542   220.5
5.0200      -270209.355  -270220.748       11.393   217.6
5.0300      -270209.353  -270220.094       10.741   205.2
5.0400      -270209.358  -270221.005       11.646   222.5
5.0500      -270209.350  -270221.403       12.053   230.2
5.0600      -270209.340  -270221.303       11.963   228.5
5.0700      -270209.341  -270221.356       12.015   229.5
5.0800      -270209.347  -270220.616       11.269   215.3
5.0900      -270209.356  -270220.830       11.474   219.2
5.1000      -270209.346  -270220.393       11.048   211.0
5.1100      -270209.340  -270220.751       11.411   218.0
5.1200      -270209.336  -270220.674       11.338   216.6
5.1300      -270209.340  -270220.771       11.432   218.4
5.1400      -270209.350  -270221.259       11.908   227.5
5.1500      -270209.353  -270221.271       11.918   227.7
5.1600      -270209.355  -270221.518       12.163   232.3
5.1700      -270209.354  -270221.314       11.960   228.5
5.1800      -270209.346  -270220.663       11.316   216.2
5.1900      -270209.353  -270220.854       11.501   219.7
5.2000      -270209.360  -270221.210       11.850   226.4
5.2100      -270209.356  -270220.995       11.640   222.3
5.2200      -270209.354  -270221.240       11.886   227.0
5.2300      -270209.352  -270221.161       11.809   225.6
5.2400      -270209.344  -270220.490       11.147   212.9
5.2500      -270209.346  -270220.842       11.496   219.6
5.2600      -270209.353  -270221.677       12.324   235.4
5.2700      -270209.354  -270221.940       12.586   240.4
5.2800      -270209.356  -270221.869       12.513   239.0
5.2900      -270209.353  -270221.208       11.855   226.5
5.3000      -270209.348  -270221.346       11.998   229.2
5.3100      -270209.350  -270221.281       11.931   227.9
5.3200      -270209.357  -270221.459       12.102   231.2
5.3300      -270209.355  -270220.993       11.638   222.3
5.3400      -270209.360  -270221.968       12.608   240.8
5.3500      -270209.353  -270221.576       12.223   233.5
5.3600      -270209.344  -270221.192       11.848   226.3
5.3700      -270209.345  -270221.316       11.972   228.7
5.3800      -270209.348  -270221.169       11.821   225.8
5.3900      -270209.353  -270221.182       11.829   226.0
5.4000      -270209.354  -270221.295       11.940   228.1
5.4100      -270209.348  -270221.660       12.312   235.2
5.4200      -270209.343  -270221.005       11.662   222.8
5.4300      -270209.351  -270221.039       11.688   223.3
5.4400      -270209.352  -270221.038       11.686   223.2
5.4500      -270209.353  -270220.897       11.543   220.5
5.4600      -270209.356  -270220.949       11.592   221.4
5.4700      -270209.360  -270221.234       11.875   226.8
5.4800      -270209.364  -270221.308       11.944   228.2
5.4900      -270209.359  -270221.153       11.794   225.3
5.5000      -270209.353  -270221.170       11.818   225.7
5.5100      -270209.346  -270221.119       11.773   224.9
5.5200      -270209.350  -270221.842       12.493   238.6
5.5300      -270209.353  -270221.393       12.040   230.0
