Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.5400      -166684.223  -166692.612        8.389   271.6
1.5500      -166684.215  -166692.535        8.320   269.3
1.5600      -166684.219  -166692.929        8.711   282.0
1.5700      -166684.234  -166693.213        8.979   290.6
1.5800      -166684.232  -166692.855        8.623   279.1
1.5900      -166684.224  -166692.984        8.760   283.6
1.6000      -166684.221  -166692.715        8.494   274.9
1.6100      -166684.223  -166692.519        8.296   268.5
1.6200      -166684.218  -166692.491        8.273   267.8
1.6300      -166684.214  -166692.653        8.439   273.2
1.6400      -166684.223  -166692.790        8.567   277.3
1.6500      -166684.219  -166692.440        8.220   266.1
1.6600      -166684.220  -166693.141        8.921   288.8
1.6700      -166684.226  -166693.127        8.901   288.1
1.6800      -166684.228  -166693.148        8.920   288.7
1.6900      -166684.218  -166693.335        9.117   295.1
1.7000      -166684.227  -166693.201        8.975   290.5
1.7100      -166684.230  -166693.174        8.944   289.5
1.7200      -166684.221  -166692.788        8.567   277.3
1.7300      -166684.219  -166692.882        8.663   280.4
1.7400      -166684.228  -166693.407        9.179   297.1
1.7500      -166684.225  -166693.224        8.999   291.3
1.7600      -166684.222  -166693.202        8.980   290.7
1.7700      -166684.230  -166693.010        8.780   284.2
1.7800      -166684.230  -166693.211        8.982   290.7
1.7900      -166684.224  -166692.685        8.461   273.9
1.8000      -166684.224  -166692.666        8.441   273.2
1.8100      -166684.217  -166693.095        8.878   287.4
1.8200      -166684.210  -166693.285        9.075   293.8
1.8300      -166684.232  -166694.107        9.875   319.7
1.8400      -166684.231  -166693.028        8.797   284.8
1.8500      -166684.227  -166693.403        9.176   297.0
1.8600      -166684.228  -166693.534        9.305   301.2
1.8700      -166684.224  -166692.774        8.550   276.8
1.8800      -166684.218  -166693.409        9.191   297.5
1.8900      -166684.226  -166693.496        9.270   300.1
1.9000      -166684.226  -166693.408        9.181   297.2
1.9100      -166684.222  -166692.726        8.504   275.3
1.9200      -166684.229  -166693.599        9.370   303.3
1.9300      -166684.232  -166693.428        9.196   297.7
1.9400      -166684.210  -166693.366        9.155   296.4
1.9500      -166684.222  -166693.243        9.021   292.0
1.9600      -166684.233  -166693.405        9.172   296.9
1.9700      -166684.223  -166693.075        8.852   286.5
1.9800      -166684.231  -166693.036        8.805   285.0
1.9900      -166684.239  -166693.500        9.261   299.8
2.0000      -166684.225  -166693.153        8.928   289.0
2.0100      -166684.219  -166693.528        9.309   301.3
2.0200      -166684.228  -166693.333        9.105   294.7
2.0300      -166684.227  -166692.889        8.663   280.4
2.0400      -166684.222  -166692.577        8.355   270.5
2.0500      -166684.224  -166692.414        8.190   265.1
2.0600      -166684.229  -166692.787        8.558   277.0
2.0700      -166684.216  -166692.928        8.712   282.0
2.0800      -166684.219  -166692.935        8.716   282.1
2.0900      -166684.227  -166693.433        9.206   298.0
2.1000      -166684.223  -166693.196        8.973   290.4
2.1100      -166684.217  -166693.075        8.858   286.7
2.1200      -166684.226  -166693.578        9.352   302.7
2.1300      -166684.224  -166693.023        8.799   284.8
2.1400      -166684.225  -166693.208        8.983   290.8
2.1500      -166684.228  -166693.145        8.917   288.7
2.1600      -166684.220  -166692.660        8.440   273.2
2.1700      -166684.221  -166692.960        8.739   282.9
2.1800      -166684.233  -166693.167        8.934   289.2
2.1900      -166684.240  -166692.830        8.590   278.1
2.2000      -166684.225  -166692.571        8.345   270.1
2.2100      -166684.222  -166692.554        8.332   269.7
2.2200      -166684.230  -166693.257        9.027   292.2
2.2300      -166684.232  -166693.541        9.309   301.3
2.2400      -166684.233  -166693.248        9.015   291.8
2.2500      -166684.230  -166692.901        8.671   280.7
2.2600      -166684.222  -166693.060        8.839   286.1
2.2700      -166684.232  -166693.345        9.113   295.0
2.2800      -166684.229  -166693.477        9.248   299.4
2.2900      -166684.224  -166693.645        9.421   305.0
2.3000      -166684.226  -166693.169        8.944   289.5
2.3100      -166684.231  -166693.515        9.283   300.5
2.3200      -166684.222  -166693.083        8.861   286.8
2.3300      -166684.227  -166692.695        8.469   274.1
2.3400      -166684.235  -166693.870        9.634   311.9
2.3500      -166684.228  -166693.743        9.515   308.0
2.3600      -166684.226  -166692.482        8.256   267.2
2.3700      -166684.237  -166692.837        8.600   278.4
2.3800      -166684.231  -166693.119        8.888   287.7
2.3900      -166684.231  -166692.649        8.418   272.5
2.4000      -166684.234  -166692.847        8.613   278.8
2.4100      -166684.225  -166692.971        8.746   283.1
2.4200      -166684.221  -166693.002        8.782   284.3
2.4300      -166684.230  -166692.965        8.735   282.8
2.4400      -166684.228  -166692.531        8.302   268.7
2.4500      -166684.231  -166692.522        8.292   268.4
2.4600      -166684.231  -166692.616        8.386   271.4
2.4700      -166684.219  -166692.706        8.488   274.7
2.4800      -166684.220  -166692.822        8.602   278.5
2.4900      -166684.231  -166693.599        9.368   303.2
2.5000      -166684.226  -166693.289        9.063   293.4
